Nusa Tenggara Barat,SMK,Laki-laki,45441,2052
Bali,SMK,Laki-laki,54383,2747
Kalimantan Timur,SMK,Laki-laki,45221,1736
Papua,SMK,Laki-laki,20727,1549
Jambi,SMK,Laki-laki,29798,2188
Kalimantan Selatan,SMK,Laki-laki,33846,152
Yogyakarta,SMK,Laki-laki,50619,1328
Sulawesi Tengah,SMK,Laki-laki,23797,3158
Sulawesi Tenggara,SMK,Laki-laki,19125,1135
Kalimantan Tengah,SMK,Laki-laki,19832,1657
Sulawesi Utara,SMK,Laki-laki,2634,875
Maluku,SMK,Laki-laki,12422,1211
Kepulauan Riau,SMK,Laki-laki,18758,1079
Bengkulu,SMK,Laki-laki,17401,1007
Kepulauan Bangka Belitung,SMK,Laki-laki,13932,993
Sulawesi Barat,SMK,Laki-laki,14642,789
Maluku Utara,SMK,Laki-laki,9345,759
Papua Barat,SMK,Laki-laki,8313,691
Gorontalo,SMK,Laki-laki,1028,498
Kalimantan Utara,SMK,Laki-laki,5178,399
Luar Negeri,SMK,Laki-laki,35,3
Jawa Barat,SLB,Perempuan,9617,25975
Jawa Timur,SLB,Perempuan,81,20842
Jawa Tengah,SLB,Perempuan,7435,21133
Sumatera Utara,SLB,Perempuan,1974,10969
Banten,SLB,Perempuan,2227,5657
Sulawesi Selatan,SLB,Perempuan,1797,4227
Sumatera Selatan,SLB,Perempuan,1015,6072
Jakarta,SLB,Perempuan,2377,539
Lampung,SLB,Perempuan,856,3503
Nusa Tenggara Timur,SLB,Perempuan,1035,3955
Riau,SLB,Perempuan,1179,4677
Sumatera Barat,SLB,Perempuan,2473,6234
Kalimantan Barat,SLB,Perempuan,557,4844
Aceh,SLB,Perempuan,1473,3092
Nusa Tenggara Barat,SLB,Perempuan,1361,217
Bali,SLB,Perempuan,851,2887
Kalimantan Timur,SLB,Perempuan,816,2413
Papua,SLB,Perempuan,262,2136
Jambi,SLB,Perempuan,721,2615
Kalimantan Selatan,SLB,Perempuan,896,2101
Yogyakarta,SLB,Perempuan,2049,1817
Sulawesi Tengah,SLB,Perempuan,518,3506
Sulawesi Tenggara,SLB,Perempuan,1104,1683
Kalimantan Tengah,SLB,Perempuan,448,2288
Sulawesi Utara,SLB,Perempuan,585,1456
Maluku,SLB,Perempuan,313,1539
Kepulauan Riau,SLB,Perempuan,542,1612
Bengkulu,SLB,Perempuan,539,1245
Kepulauan Bangka Belitung,SLB,Perempuan,424,1208
Sulawesi Barat,SLB,Perempuan,540,966
Maluku Utara,SLB,Perempuan,385,871
Papua Barat,SLB,Perempuan,104,1111
Gorontalo,SLB,Perempuan,364,696
Kalimantan Utara,SLB,Perempuan,154,433
Luar Negeri,SLB,Perempuan,0,2
Jawa Barat,SLB,Laki-laki,14201,27284
Jawa Timur,SLB,Laki-laki,11948,21049
Jawa Tengah,SLB,Laki-laki,10918,22355
Sumatera Utara,SLB,Laki-laki,3014,8071
Banten,SLB,Laki-laki,3522,3906
Sulawesi Selatan,SLB,Laki-laki,2646,2632
Sumatera Selatan,SLB,Laki-laki,1626,5814
Jakarta,SLB,Laki-laki,3652,4664
Lampung,SLB,Laki-laki,1199,3351
Nusa Tenggara Timur,SLB,Laki-laki,1422,2234
Riau,SLB,Laki-laki,2069,2847
Sumatera Barat,SLB,Laki-laki,4219,5238
Kalimantan Barat,SLB,Laki-laki,954,2511
Aceh,SLB,Laki-laki,2217,3473
Nusa Tenggara Barat,SLB,Laki-laki,19,2052
Bali,SLB,Laki-laki,1353,2747
Kalimantan Timur,SLB,Laki-laki,1681,1736
Papua,SLB,Laki-laki,407,1549
Jambi,SLB,Laki-laki,117,2188
Kalimantan Selatan,SLB,Laki-laki,1546,152
Yogyakarta,SLB,Laki-laki,3106,1328
Sulawesi Tengah,SLB,Laki-laki,828,3158
Sulawesi Tenggara,SLB,Laki-laki,1708,1135
Kalimantan Tengah,SLB,Laki-laki,703,1657
Sulawesi Utara,SLB,Laki-laki,883,875
Maluku,SLB,Laki-laki,549,1211
Kepulauan Riau,SLB,Laki-laki,841,1079
Bengkulu,SLB,Laki-laki,871,1007
Kepulauan Bangka Belitung,SLB,Laki-laki,670,993
Sulawesi Barat,SLB,Laki-laki,749,789
Maluku Utara,SLB,Laki-laki,569,759
Papua Barat,SLB,Laki-laki,148,691
Gorontalo,SLB,Laki-laki,538,498
Kalimantan Utara,SLB,Laki-laki,302,399
Luar Negeri,SLB,Laki-laki,0,3
Jawa Barat,SD,Perempuan,0,0
Jawa Timur,SD,Perempuan,0,0
Jawa Tengah,SD,Perempuan,0,0
Sumatera Utara,SD,Perempuan,0,0
Banten,SD,Perempuan,0,0
Sulawesi Selatan,SD,Perempuan,0,0
Sumatera Selatan,SD,Perempuan,0,0
Jakarta,SD,Perempuan,0,0
Lampung,SD,Perempuan,0,0
Nusa Tenggara Timur,SD,Perempuan,0,0
Riau,SD,Perempuan,0,0
Sumatera Barat,SD,Perempuan,0,0
Kalimantan Barat,SD,Perempuan,0,0
Aceh,SD,Perempuan,0,0
Nusa Tenggara Barat,SD,Perempuan,0,0
Bali,SD,Perempuan,0,0
Kalimantan Timur,SD,Perempuan,0,0
Papua,SD,Perempuan,0,0
Jambi,SD,Perempuan,0,0
Kalimantan Selatan,SD,Perempuan,0,0
Yogyakarta,SD,Perempuan,0,0
Sulawesi Tengah,SD,Perempuan,0,0
Sulawesi Tenggara,SD,Perempuan,0,0
Kalimantan Tengah,SD,Perempuan,0,0
Sulawesi Utara,SD,Perempuan,0,0
Maluku,SD,Perempuan,0,0
Kepulauan Riau,SD,Perempuan,0,0
Bengkulu,SD,Perempuan,0,0
Kepulauan Bangka Belitung,SD,Perempuan,0,0
Sulawesi Barat,SD,Perempuan,0,0
Maluku Utara,SD,Perempuan,0,0
Papua Barat,SD,Perempuan,0,0
Gorontalo,SD,Perempuan,0,0
Kalimantan Utara,SD,Perempuan,0,0
Luar Negeri,SD,Perempuan,0,0
Jawa Barat,SD,Laki-laki,0,0
Jawa Timur,SD,Laki-laki,0,0
Jawa Tengah,SD,Laki-laki,0,0
Sumatera Utara,SD,Laki-laki,0,0
Banten,SD,Laki-laki,0,0
Sulawesi Selatan,SD,Laki-laki,0,0
Sumatera Selatan,SD,Laki-laki,0,0
Jakarta,SD,Laki-laki,0,0
Lampung,SD,Laki-laki,0,0
Nusa Tenggara Timur,SD,Laki-laki,0,0
Riau,SD,Laki-laki,0,0
Sumatera Barat,SD,Laki-laki,0,0
Kalimantan Barat,SD,Laki-laki,0,0
Aceh,SD,Laki-laki,0,0
Nusa Tenggara Barat,SD,Laki-laki,0,0
Bali,SD,Laki-laki,0,0
Kalimantan Timur,SD,Laki-laki,0,0
Papua,SD,Laki-laki,0,0
Jambi,SD,Laki-laki,0,0
Kalimantan Selatan,SD,Laki-laki,0,0
Yogyakarta,SD,Laki-laki,0,0
Sulawesi Tengah,SD,Laki-laki,0,0
Sulawesi Tenggara,SD,Laki-laki,0,0
Kalimantan Tengah,SD,Laki-laki,0,0
Sulawesi Utara,SD,Laki-laki,0,0
Maluku,SD,Laki-laki,0,0
Kepulauan Riau,SD,Laki-laki,0,0
Bengkulu,SD,Laki-laki,0,0
Kepulauan Bangka Belitung,SD,Laki-laki,0,0
Sulawesi Barat,SD,Laki-laki,0,0
Maluku Utara,SD,Laki-laki,0,0
Papua Barat,SD,Laki-laki,0,0
Gorontalo,SD,Laki-laki,0,0
Kalimantan Utara,SD,Laki-laki,0,0
Luar Negeri,SD,Laki-laki,0,0
Jawa Barat,SMP,Perempuan,0,0
Jawa Timur,SMP,Perempuan,0,0
Jawa Tengah,SMP,Perempuan,0,0
Sumatera Utara,SMP,Perempuan,0,0
Banten,SMP,Perempuan,0,0
Sulawesi Selatan,SMP,Perempuan,0,0
Sumatera Selatan,SMP,Perempuan,0,0
Jakarta,SMP,Perempuan,0,0
Lampung,SMP,Perempuan,0,0
Nusa Tenggara Timur,SMP,Perempuan,0,0
Riau,SMP,Perempuan,0,0
Sumatera Barat,SMP,Perempuan,0,0
Kalimantan Barat,SMP,Perempuan,0,0
Aceh,SMP,Perempuan,0,0
Nusa Tenggara Barat,SMP,Perempuan,0,0
Bali,SMP,Perempuan,0,0
Kalimantan Timur,SMP,Perempuan,0,0
Papua,SMP,Perempuan,0,0
Jambi,SMP,Perempuan,0,0
Kalimantan Selatan,SMP,Perempuan,0,0
Yogyakarta,SMP,Perempuan,0,0
Sulawesi Tengah,SMP,Perempuan,0,0
Sulawesi Tenggara,SMP,Perempuan,0,0
Kalimantan Tengah,SMP,Perempuan,0,0
Sulawesi Utara,SMP,Perempuan,0,0
Maluku,SMP,Perempuan,0,0
Kepulauan Riau,SMP,Perempuan,0,0
Bengkulu,SMP,Perempuan,0,0
Kepulauan Bangka Belitung,SMP,Perempuan,0,0
Sulawesi Barat,SMP,Perempuan,0,0
Maluku Utara,SMP,Perempuan,0,0
Papua Barat,SMP,Perempuan,0,0
Gorontalo,SMP,Perempuan,0,0
Kalimantan Utara,SMP,Perempuan,0,0
Luar Negeri,SMP,Perempuan,0,0
Jawa Barat,SMP,Laki-laki,0,0
Jawa Timur,SMP,Laki-laki,0,0
Jawa Tengah,SMP,Laki-laki,0,0
Sumatera Utara,SMP,Laki-laki,0,0
Banten,SMP,Laki-laki,0,0
Sulawesi Selatan,SMP,Laki-laki,0,0
Sumatera Selatan,SMP,Laki-laki,0,0
Jakarta,SMP,Laki-laki,0,0
Lampung,SMP,Laki-laki,0,0
Nusa Tenggara Timur,SMP,Laki-laki,0,0
Riau,SMP,Laki-laki,0,0
Sumatera Barat,SMP,Laki-laki,0,0
Kalimantan Barat,SMP,Laki-laki,0,0
Aceh,SMP,Laki-laki,0,0
Nusa Tenggara Barat,SMP,Laki-laki,0,0
Bali,SMP,Laki-laki,0,0
Kalimantan Timur,SMP,Laki-laki,0,0
Papua,SMP,Laki-laki,0,0
Jambi,SMP,Laki-laki,0,0
Kalimantan Selatan,SMP,Laki-laki,0,0
Yogyakarta,SMP,Laki-laki,0,0
Sulawesi Tengah,SMP,Laki-laki,0,0
Sulawesi Tenggara,SMP,Laki-laki,0,0
Kalimantan Tengah,SMP,Laki-laki,0,0
Sulawesi Utara,SMP,Laki-laki,0,0
Maluku,SMP,Laki-laki,0,0
Kepulauan Riau,SMP,Laki-laki,0,0
Bengkulu,SMP,Laki-laki,0,0
Kepulauan Bangka Belitung,SMP,Laki-laki,0,0
Sulawesi Barat,SMP,Laki-laki,0,0
Maluku Utara,SMP,Laki-laki,0,0
Papua Barat,SMP,Laki-laki,0,0
Gorontalo,SMP,Laki-laki,0,0
Kalimantan Utara,SMP,Laki-laki,0,0
Luar Negeri,SMP,Laki-laki,0,0
Jawa Barat,SMA,Perempuan,0,0
Jawa Timur,SMA,Perempuan,0,0
Jawa Tengah,SMA,Perempuan,0,0
Sumatera Utara,SMA,Perempuan,0,0
Banten,SMA,Perempuan,0,0
Sulawesi Selatan,SMA,Perempuan,0,0
Sumatera Selatan,SMA,Perempuan,0,0
Jakarta,SMA,Perempuan,0,0
Lampung,SMA,Perempuan,0,0
Nusa Tenggara Timur,SMA,Perempuan,0,0
Riau,SMA,Perempuan,0,0
Sumatera Barat,SMA,Perempuan,0,0
Kalimantan Barat,SMA,Perempuan,0,0
Aceh,SMA,Perempuan,0,0
Nusa Tenggara Barat,SMA,Perempuan,0,0
Bali,SMA,Perempuan,0,0
Kalimantan Timur,SMA,Perempuan,0,0
Papua,SMA,Perempuan,0,0
Jambi,SMA,Perempuan,0,0
Kalimantan Selatan,SMA,Perempuan,0,0
Yogyakarta,SMA,Perempuan,0,0
Sulawesi Tengah,SMA,Perempuan,0,0
Sulawesi Tenggara,SMA,Perempuan,0,0
Kalimantan Tengah,SMA,Perempuan,0,0
Sulawesi Utara,SMA,Perempuan,0,0
Maluku,SMA,Perempuan,0,0
Kepulauan Riau,SMA,Perempuan,0,0
Bengkulu,SMA,Perempuan,0,0
Kepulauan Bangka Belitung,SMA,Perempuan,0,0
Sulawesi Barat,SMA,Perempuan,0,0
Maluku Utara,SMA,Perempuan,0,0
Papua Barat,SMA,Perempuan,0,0
Gorontalo,SMA,Perempuan,0,0
Kalimantan Utara,SMA,Perempuan,0,0
Luar Negeri,SMA,Perempuan,0,0
Jawa Barat,SMA,Laki-laki,0,0
Jawa Timur,SMA,Laki-laki,0,0
Jawa Tengah,SMA,Laki-laki,0,0
Sumatera Utara,SMA,Laki-laki,0,0
Banten,SMA,Laki-laki,0,0
